LIST_LEN,N_DIGITS,D_MODEL,N_HEAD,N_LAYERS,USE_LN,USE_BIAS,FREEZE_WV,FREEZE_WO,WEIGHT_DECAY,run_idx,val_acc,steps_trained,train_time_sec,params_total,params_trainable,val_examples,batch_size,device
1,100,64,1,1,False,False,True,True,0.01,0,0.0096435546875,50000,172.24173665046692,29990,21440,8192,1024,cuda
1,100,64,1,1,False,False,True,True,0.01,1,0.01025390625,50000,171.49023270606995,29990,21440,8192,1024,cuda
1,100,64,1,1,False,False,True,True,0.01,2,0.0111083984375,50000,170.05922865867615,29990,21440,8192,1024,cuda
1,100,64,1,2,False,False,True,True,0.01,0,1.0,2500,12.573710680007935,46630,29632,8192,1024,cuda
1,100,64,1,2,False,False,True,True,0.01,1,1.0,2500,12.482933044433594,46630,29632,8192,1024,cuda
1,100,64,1,2,False,False,True,True,0.01,2,1.0,2500,12.603095054626465,46630,29632,8192,1024,cuda
1,100,64,1,3,False,False,True,True,0.01,0,1.0,2500,16.747124433517456,63270,37824,8192,1024,cuda
1,100,64,1,3,False,False,True,True,0.01,1,1.0,2500,16.76825475692749,63270,37824,8192,1024,cuda
1,100,64,1,3,False,False,True,True,0.01,2,1.0,2500,16.5555157661438,63270,37824,8192,1024,cuda
1,100,64,1,4,False,False,True,True,0.01,0,1.0,2500,20.047024488449097,79910,46016,8192,1024,cuda
1,100,64,1,4,False,False,True,True,0.01,1,1.0,2500,20.070072174072266,79910,46016,8192,1024,cuda
1,100,64,1,4,False,False,True,True,0.01,2,1.0,2500,20.107612371444702,79910,46016,8192,1024,cuda
1,100,64,1,5,False,False,True,True,0.01,0,1.0,2500,24.935397624969482,96550,54208,8192,1024,cuda
1,100,64,1,5,False,False,True,True,0.01,1,1.0,2500,24.748125791549683,96550,54208,8192,1024,cuda
1,100,64,1,5,False,False,True,True,0.01,2,1.0,2500,24.722408533096313,96550,54208,8192,1024,cuda
1,100,64,1,6,False,False,True,True,0.01,0,1.0,2500,29.84302282333374,113190,62400,8192,1024,cuda
1,100,64,1,6,False,False,True,True,0.01,1,1.0,2500,29.888033151626587,113190,62400,8192,1024,cuda
1,100,64,1,6,False,False,True,True,0.01,2,1.0,2500,29.65675711631775,113190,62400,8192,1024,cuda
1,100,64,1,7,False,False,True,True,0.01,0,1.0,2500,33.758549451828,129830,70592,8192,1024,cuda
1,100,64,1,7,False,False,True,True,0.01,1,1.0,2500,33.77447175979614,129830,70592,8192,1024,cuda
1,100,64,1,7,False,False,True,True,0.01,2,1.0,2500,33.89882206916809,129830,70592,8192,1024,cuda
1,100,64,1,8,False,False,True,True,0.01,0,1.0,2500,38.15365195274353,146470,78784,8192,1024,cuda
1,100,64,1,8,False,False,True,True,0.01,1,1.0,2500,37.89704442024231,146470,78784,8192,1024,cuda
