d1,d2,scale,orig_o1,orig_o2,patched_o1,patched_o2,swapped
28,90,2.17,28,90,28,90,False
93,99,6.0365,93,99,70,70,False
19,17,9.2615,19,17,70,17,False
49,19,7.1295,49,49,70,73,False
17,29,6.045,17,29,70,70,False
4,29,1.3035,4,29,4,29,False
3,37,2.7075,3,37,3,37,False
82,23,5.9925,82,23,70,70,False
55,92,6.5265,55,92,70,34,False
40,53,1.7645,53,53,53,88,False
14,26,6.7375,14,26,70,34,False
76,26,6.7095,76,26,70,15,False
86,6,6.527,86,6,70,86,False
59,16,8.7185,59,16,70,16,False
2,97,2.0435,2,97,2,97,False
1,37,2.385,1,37,1,37,False
38,86,8.762,38,86,86,86,False
18,99,5.9355,18,99,70,70,False
51,47,6.148,51,47,70,70,False
89,50,6.4995,89,50,70,15,False
30,86,7.807,30,86,70,86,False
6,84,8.826,6,84,70,84,False
72,45,7.135,72,45,70,66,False
76,45,7.355,76,45,70,76,False
38,58,8.4905,38,58,70,58,False
53,34,6.9805,53,34,70,34,False
66,24,5.9495000000000005,66,24,70,70,False
82,91,8.494,82,91,70,91,False
86,87,6.4655000000000005,86,87,70,86,False
93,47,7.4855,93,47,70,47,False
11,40,8.4475,11,11,70,70,False
1,27,7.12,1,27,70,1,False
60,57,1.6645,60,57,60,57,False
6,55,8.7445,6,6,70,55,False
86,55,1.9435000000000002,86,55,86,55,False
36,23,6.0425,36,23,70,15,False
73,42,3.0229999999999997,73,42,73,42,False
93,6,3.0285,93,6,93,6,False
64,19,2.355,64,19,73,19,False
31,7,5.9505,31,7,70,70,False
1,67,2.8645,1,67,1,67,False
18,5,1.9104999999999999,18,5,18,5,False
55,40,9.286,55,40,70,40,False
67,10,6.022,67,10,70,70,False
54,26,7.933,54,26,77,26,False
13,46,8.064499999999999,13,46,70,13,False
86,35,1.8760000000000001,86,35,86,35,False
69,57,1.3860000000000001,69,57,69,57,False
89,79,8.296,89,79,70,89,False
69,22,6.111,69,22,70,70,False
69,36,6.737,69,36,70,69,False
40,33,6.551,40,33,70,51,False
53,65,6.618,53,65,70,53,False
14,58,9.1355,14,14,70,58,False
59,15,9.493500000000001,59,15,70,15,False
23,63,7.8975,23,63,70,63,False
38,78,4.0825,38,78,78,38,True
37,5,8.632,37,5,70,5,False
98,18,8.078,98,18,18,18,False
17,96,3.412,17,96,17,96,False
6,35,4.9945,6,35,6,35,False
72,99,1.1800000000000002,72,99,72,99,False
51,66,1.561,51,66,51,66,False
