d1,d2,lower_bound,upper_bound,midpoint,swap_zone_width,failure_reason
60,44,,,,,no_o1_crossover
28,90,,,,,no_o2_crossover
93,99,0.22,0.626,0.423,0.406,
19,17,8.523,10.0,9.2615,1.4770000000000003,
49,19,4.259,10.0,7.1295,5.741,
17,29,0.188,0.652,0.42000000000000004,0.464,
4,29,,,,,no_o2_crossover
75,32,,,,,no_o1_crossover
3,37,,,,,no_o2_crossove
82,23,0.271,0.455,0.363,0.184,
9,81,,,,,no_o1_crossover
48,69,,,,,no_o1_crossover
7,84,,,,,no_o1_crossover
48,40,,,,,no_o1_crossover
55,92,0.318,0.455,0.3865,0.137,
63,1,,,,,no_o1_crossover
29,20,,,,,no_o1_crossover
40,53,1.106,2.423,1.7645,1.317,
85,6,,,,,no_o1_crossover
14,26,0.313,0.645,0.479,0.332,
76,26,0.297,0.527,0.41200000000000003,0.23000000000000004,
88,37,,,,,no_o1_crossover
49,11,,,,,no_o2_crossover
86,6,0.615,0.675,0.645,0.06000000000000005,
22,88,,,,,no_o1_crossover
59,16,7.437,10.0,8.7185,2.5629999999999997,
2,97,,,,,no_o2_crossover
27,51,,,,,no_o1_crossover
42,37,,,,,no_o2_crossover
1,37,,,,,no_o2_crossover
35,31,,,,,no_o1_crossover
38,86,7.524,10.0,8.762,2.476,
61,47,,,,,no_o1_crossover
18,99,0.265,0.552,0.40850000000000003,0.28700000000000003,
51,47,0.75,0.922,0.8360000000000001,0.17200000000000004,
89,50,0.316,0.504,0.41000000000000003,0.188,
30,86,5.614,10.0,7.807,4.386,
6,84,7.652,10.0,8.826,2.348,
72,45,4.27,10.0,7.135,5.73,
76,45,0.246,0.673,0.4595,0.42700000000000005,
38,58,6.981,10.0,8.4905,3.019,
53,34,3.961,10.0,6.9805,6.039,
66,24,0.211,0.626,0.4185,0.41500000000000004,
9,14,,,,,no_o2_crossover
82,91,6.988,10.0,8.494,3.0119999999999996,
86,87,0.315,0.572,0.4435,0.25699999999999995,
93,47,4.971,10.0,7.4855,5.029,
42,33,,,,,no_o1_crossover
48,94,,,,,no_o1_crossover
43,37,,,,,no_o1_crossover
11,40,6.895,10.0,8.4475,3.1050000000000004,
1,27,0.361,0.459,0.41000000000000003,0.09800000000000003,
60,57,,,,,no_o2_crossover
80,31,,,,,no_o1_crossover
6,55,7.489,10.0,8.7445,2.511,
86,55,,,,,no_o2_crossover
36,23,0.487,0.62,0.5535,0.133,
73,42,,,,,no_o2_crossover
93,6,,,,,no_o2_crossover
7,89,,,,,no_o1_crossover
64,19,,,,,no_o2_crossover
31,7,0.213,0.591,0.40199999999999997,0.378,
39,35,,,,,no_o1_crossover
56,67,,,,,no_o1_crossover
1,67,,,,,no_o2_crossover
18,5,,,,,no_o2_crossover
55,76,,,,,no_o1_crossover
49,88,,,,,no_o2_crossover
41,36,,,,,no_o2_crossover
77,77,,,,,no_o1_crossover
42,87,0.364,0.573,0.46849999999999997,0.20899999999999996,
55,40,8.572,10.0,9.286,1.4280000000000008,
67,10,0.19,0.62,0.405,0.43,
48,77,,,,,no_o1_crossover
54,26,5.866,10.0,7.933,4.134,
13,46,0.283,0.444,0.3635,0.16100000000000003,
86,35,,,,,no_o2_crossover
26,60,,,,,no_o1_crossover
69,57,,,,,no_o2_crossover
89,79,0.365,0.379,0.372,0.014000000000000012,
69,22,0.307,0.456,0.3815,0.14900000000000002,
96,98,,,,,no_o1_crossover
69,36,0.337,0.598,0.4675,0.26099999999999995,
40,33,0.357,0.604,0.4805,0.247,
53,65,0.45,0.552,0.501,0.10200000000000004,
14,58,,,,,cannot_determine_o1_dominance
3,21,,,,,no_o2_crossover
44,15,,,,,no_o2_crossover
59,15,8.987,10.0,9.493500000000001,1.013,
57,27,,,,,no_o1_crossover
65,5,,,,,no_o1_crossover
23,63,5.795,10.0,7.8975,4.205,
64,38,,,,,no_o2_crossover
19,68,,,,,no_o2_crossover
87,41,,,,,no_o1_crossover
58,66,,,,,no_o2_crossover
61,90,,,,,no_o2_crossover
38,78,1.597,6.568,4.0825,4.971,
62,59,,,,,no_o1_crossover
65,9,,,,,no_o1_crossover
37,5,7.264,10.0,8.632,2.7359999999999998,
98,18,6.156,10.0,8.078,3.8440000000000003,
17,96,,,,,no_o2_crossover
74,77,,,,,no_o1_crossover
56,44,,,,,no_o1_crossover
6,35,,,,,no_o2_crossover
46,96,,,,,no_o1_crossover
72,99,,,,,no_o2_crossover
35,83,,,,,no_o1_crossover
51,66,,,,,no_o2_crossover
49,5,,,,,no_o1_crossover
18,31,,,,,no_o2_crossover
17,16,6.942,10.0,8.471,3.058,
99,15,,,,,no_o1_crossover
40,46,0.401,0.521,0.461,0.12,
42,49,0.408,0.62,0.514,0.21200000000000002,
45,99,0.412,0.64,0.526,0.22800000000000004,
67,75,0.263,0.531,0.397,0.268,
55,19,0.516,0.586,0.5509999999999999,0.06999999999999995,
70,13,,,,,no_o2_crossover
20,15,,,,,no_o1_crossover
28,55,,,,,no_o1_crossover
26,37,,,,,no_o1_crossover
89,56,0.31,0.495,0.40249999999999997,0.185,
75,77,,,,,no_o1_crossover
63,70,,,,,no_o1_crossover
47,31,,,,,no_o2_crossover
3,35,,,,,no_o2_crossover
22,49,5.82,10.0,7.91,4.18,
52,83,,,,,no_o1_crossover
14,18,9.534,10.0,9.767,0.4659999999999993,
25,92,,,,,no_o2_crossover
67,69,9.162,10.0,9.581,0.8379999999999992,
55,22,0.26,0.421,0.3405,0.16099999999999998,
12,32,,,,,no_o1_crossover
18,21,0.715,0.757,0.736,0.04200000000000004,
65,22,0.313,0.735,0.524,0.422,
55,82,,,,,no_o2_crossover
50,66,,,,,no_o1_crossover
51,32,0.662,0.882,0.772,0.21999999999999997,
92,9,,,,,no_o1_crossover
54,43,5.797,10.0,7.8985,4.203,
56,98,,,,,no_o1_crossover
43,4,,,,,no_o2_crossover
98,21,,,,,no_o1_crossover
36,74,0.323,0.587,0.45499999999999996,0.26399999999999996,
15,53,6.807,10.0,8.403500000000001,3.1929999999999996,
35,30,1.415,10.0,5.7075,8.585,
6,41,,,,,no_o2_crossover
49,34,,,,,no_o1_crossover
34,72,0.467,0.635,0.551,0.16799999999999998,
98,84,5.866,10.0,7.933,4.134,
43,22,,,,,no_o2_crossover
48,22,,,,,no_o2_crossover
48,42,,,,,no_o1_crossover
79,44,,,,,no_o1_crossover
87,63,,,,,no_o2_crossover
64,20,,,,,no_o1_crossover
79,46,,,,,no_o1_crossover
58,36,,,,,no_o2_crossover
43,70,,,,,no_o1_crossover
55,16,8.708,10.0,9.354,1.2919999999999998,
44,97,,,,,no_o1_crossover
4,71,,,,,no_o1_crossover
52,23,0.397,0.461,0.42900000000000005,0.064,
73,26,0.266,0.581,0.4235,0.31499999999999995,
93,16,,,,,no_o1_crossover
49,84,,,,,no_o2_crossover
67,7,0.252,0.582,0.417,0.32999999999999996,
2,63,0.285,0.571,0.42799999999999994,0.286,
17,5,8.187,10.0,9.093499999999999,1.8130000000000006,
61,26,,,,,no_o1_crossover
39,99,0.309,0.502,0.40549999999999997,0.193,
94,71,,,,,no_o2_crossover
61,89,,,,,no_o1_crossover
11,68,5.402,10.0,7.7010000000000005,4.598,
79,85,,,,,no_o1_crossover
75,92,5.66,10.0,7.83,4.34,
93,92,0.359,0.515,0.437,0.15600000000000003,
24,16,,,,,no_o1_crossover
31,83,,,,,no_o2_crossover
75,61,6.8,10.0,8.4,3.2,
33,69,,,,,no_o1_crossover
23,6,,,,,no_o1_crossover
84,19,0.534,0.554,0.544,0.020000000000000018,
35,75,0.292,0.374,0.33299999999999996,0.08200000000000002,
14,0,9.967,10.0,9.9835,0.032999999999999474,
4,98,,,,,no_o1_crossover
57,24,,,,,no_o2_crossover
9,86,,,,,no_o1_crossover
96,75,0.325,0.544,0.4345,0.21900000000000003,
74,8,,,,,no_o1_crossover
65,70,,,,,no_o2_crossover
70,39,,,,,no_o2_crossover
98,30,,,,,no_o1_crossover
28,29,0.186,0.643,0.4145,0.457,
67,32,8.662,10.0,9.331,1.3379999999999992,
24,5,,,,,no_o1_crossover
44,26,,,,,no_o2_crossover
32,10,0.219,0.603,0.411,0.384,
22,69,,,,,no_o1_crossover
56,86,,,,,no_o1_crossover
39,13,,,,,no_o1_crossover
73,54,0.204,0.528,0.366,0.32400000000000007,
16,34,5.806,10.0,7.9030000000000005,4.194,
79,8,,,,,no_o1_crossover
98,27,0.315,0.555,0.43500000000000005,0.24000000000000005,
42,74,0.18,0.611,0.39549999999999996,0.431,
12,72,,,,,no_o2_crossover
42,14,,,,,no_o1_crossover
77,75,0.227,0.493,0.36,0.266,
88,41,,,,,no_o2_crossover
57,68,,,,,no_o1_crossover
18,64,0.428,0.499,0.4635,0.07100000000000001,
5,86,3.643,10.0,6.8215,6.357,
