d1,d2,lower_bound,upper_bound,midpoint,swap_zone_width,failure_reason
60,44,,,,,no_o1_crossover
28,90,,,,,no_o2_crossover_in_bounds
93,99,0.0,0.22,0.11,0.22,
19,17,1.753,8.523,5.138,6.77,
49,19,2.159,10.0,6.0794999999999995,7.841,
17,29,0.0,0.188,0.094,0.188,
4,29,,,,,no_o2_crossover_in_bounds
75,32,,,,,no_o1_crossover
3,37,,,,,no_o2_crossover_in_bounds
82,23,0.0,0.271,0.1355,0.271,
9,81,,,,,no_o1_crossover
48,69,,,,,no_o1_crossover
7,84,,,,,no_o1_crossover
48,40,,,,,no_o1_crossover
55,92,0.0,0.318,0.159,0.318,
63,1,,,,,no_o1_crossover
29,20,,,,,no_o1_crossover
40,53,0.678,10.0,5.339,9.322,
85,6,,,,,no_o1_crossover
14,26,0.0,0.313,0.1565,0.313,
76,26,0.0,0.297,0.1485,0.297,
88,37,,,,,no_o1_crossover
49,11,,,,,no_o2_crossover_in_bounds
86,6,0.0,0.615,0.3075,0.615,
22,88,,,,,no_o1_crossover
59,16,1.563,7.437,4.5,5.8740000000000006,
2,97,,,,,no_o2_crossover_in_bounds
27,51,,,,,no_o1_crossover
42,37,,,,,no_o2_crossover_in_bounds
1,37,,,,,no_o2_crossover_in_bounds
35,31,,,,,no_o1_crossover
38,86,2.031,7.524,4.7775,5.493,
61,47,,,,,no_o1_crossover
18,99,0.0,0.265,0.1325,0.265,
51,47,0.0,0.75,0.375,0.75,
89,50,0.0,0.316,0.158,0.316,
30,86,1.787,10.0,5.8934999999999995,8.213000000000001,
6,84,1.5,7.652,4.5760000000000005,6.152,
72,45,1.896,10.0,5.948,8.104,
76,45,0.0,0.246,0.123,0.246,
38,58,1.9,6.981,4.4405,5.0809999999999995,
53,34,1.683,10.0,5.8415,8.317,
66,24,0.0,0.211,0.1055,0.211,
9,14,,,,,no_o2_crossover_in_bounds
82,91,1.563,6.988,4.2755,5.425000000000001,
86,87,0.0,0.315,0.1575,0.315,
93,47,1.293,10.0,5.6465,8.707,
42,33,,,,,no_o1_crossover
48,94,,,,,no_o1_crossover
43,37,,,,,no_o1_crossover
11,40,2.937,6.895,4.9159999999999995,3.9579999999999997,
1,27,0.0,0.362,0.181,0.362,
60,57,,,,,no_o2_crossover_in_bounds
80,31,,,,,no_o1_crossover
6,55,1.946,7.489,4.7175,5.543,
86,55,,,,,no_o2_crossover_in_bounds
36,23,0.0,0.487,0.2435,0.487,
73,42,,,,,no_o2_crossover_in_bounds
93,6,,,,,no_o2_crossover_in_bounds
7,89,,,,,no_o1_crossover
64,19,,,,,no_o2_crossover_in_bounds
31,7,0.0,0.213,0.1065,0.213,
39,35,,,,,no_o1_crossover
56,67,,,,,no_o1_crossover
1,67,,,,,no_o2_crossover_in_bounds
18,5,,,,,no_o2_crossover_in_bounds
55,76,,,,,no_o1_crossover
49,88,,,,,no_o2_crossover_in_bounds
41,36,,,,,no_o2_crossover_in_bounds
77,77,,,,,no_o1_crossover
42,87,0.0,0.364,0.182,0.364,
55,40,1.811,8.572,5.1915,6.760999999999999,
67,10,0.0,0.19,0.095,0.19,
48,77,,,,,no_o1_crossover
54,26,2.249,10.0,6.1245,7.7509999999999994,
13,46,0.0,0.283,0.1415,0.283,
86,35,,,,,no_o2_crossover_in_bounds
26,60,,,,,no_o1_crossover
69,57,,,,,no_o2_crossover_in_bounds
89,79,0.0,0.365,0.1825,0.365,
69,22,0.0,0.308,0.154,0.308,
96,98,,,,,no_o1_crossover
69,36,0.0,0.337,0.1685,0.337,
40,33,0.0,0.357,0.1785,0.357,
53,65,0.0,0.45,0.225,0.45,
14,58,6.798,8.271,7.5345,1.4730000000000008,
3,21,,,,,no_o2_crossover_in_bounds
44,15,,,,,no_o2_crossover_in_bounds
59,15,2.169,8.987,5.578,6.818,
57,27,,,,,no_o1_crossover
65,5,,,,,no_o1_crossover
23,63,2.012,10.0,6.006,7.9879999999999995,
64,38,,,,,no_o2_crossover_in_bounds
