d1,d2,scale,orig_o1,orig_o2,patched_o1,patched_o2,swapped
93,99,0.423,93,99,99,99,False
19,17,9.2615,19,17,70,17,False
49,19,7.1295,49,49,70,73,False
17,29,0.42000000000000004,17,29,29,29,False
82,23,0.363,82,23,23,49,False
55,92,0.3865,55,92,92,92,False
40,53,1.7645,53,53,53,88,False
14,26,0.479,14,26,26,26,False
76,26,0.41200000000000003,76,26,26,26,False
86,6,0.645,86,6,6,6,False
59,16,8.7185,59,16,70,16,False
38,86,8.762,38,86,86,86,False
18,99,0.40850000000000003,18,99,99,99,False
51,47,0.8360000000000001,51,47,47,47,False
89,50,0.41000000000000003,89,50,50,50,False
30,86,7.807,30,86,70,86,False
6,84,8.826,6,84,70,84,False
72,45,7.135,72,45,70,66,False
76,45,0.4595,76,45,45,45,False
38,58,8.4905,38,58,70,58,False
53,34,6.9805,53,34,70,34,False
66,24,0.4185,66,24,24,24,False
82,91,8.494,82,91,70,91,False
86,87,0.4435,86,87,87,87,False
93,47,7.4855,93,47,70,47,False
11,40,8.4475,11,11,70,70,False
1,27,0.41000000000000003,1,27,27,27,False
6,55,8.7445,6,6,70,55,False
36,23,0.5535,36,23,23,23,False
31,7,0.40199999999999997,31,7,7,7,False
42,87,0.46849999999999997,42,87,87,87,False
55,40,9.286,55,40,70,40,False
67,10,0.405,67,10,10,10,False
54,26,7.933,54,26,77,26,False
13,46,0.3635,13,46,46,46,False
89,79,0.372,89,79,79,79,False
69,22,0.3815,69,22,22,22,False
69,36,0.4675,69,36,36,36,False
40,33,0.4805,40,33,33,33,False
53,65,0.501,53,65,65,65,False
59,15,9.493500000000001,59,15,70,15,False
23,63,7.8975,23,63,70,63,False
38,78,4.0825,38,78,78,38,True
37,5,8.632,37,5,70,5,False
98,18,8.078,98,18,18,18,False
17,16,8.471,17,17,70,16,False
40,46,0.461,40,46,46,46,False
42,49,0.514,42,49,49,49,False
45,99,0.526,45,99,99,99,False
67,75,0.397,67,75,75,50,False
55,19,0.5509999999999999,55,19,19,19,False
89,56,0.40249999999999997,89,56,56,56,False
22,49,7.91,22,22,70,20,False
14,18,9.767,14,18,18,18,False
67,69,9.581,67,69,70,69,False
55,22,0.3405,55,22,22,20,False
18,21,0.736,18,21,21,21,False
65,22,0.524,65,22,22,22,False
51,32,0.772,51,32,32,32,False
54,43,7.8985,54,43,70,43,False
36,74,0.45499999999999996,36,74,74,74,False
15,53,8.403500000000001,15,53,70,53,False
35,30,5.7075,35,30,30,35,True
34,72,0.551,34,72,72,72,False
98,84,7.933,98,84,70,84,False
55,16,9.354,55,16,70,16,False
52,23,0.42900000000000005,52,23,23,23,False
73,26,0.4235,73,26,26,26,False
67,7,0.417,67,7,7,7,False
2,63,0.42799999999999994,2,63,63,63,False
17,5,9.093499999999999,17,5,70,5,False
39,99,0.40549999999999997,39,99,99,99,False
11,68,7.7010000000000005,11,68,70,70,False
75,92,7.83,75,92,70,92,False
93,92,0.437,93,92,92,92,False
75,61,8.4,75,61,77,61,False
84,19,0.544,84,19,19,35,False
35,75,0.33299999999999996,35,75,75,19,False
14,0,9.9835,14,0,0,0,False
96,75,0.4345,96,75,75,75,False
28,29,0.4145,28,29,29,29,False
67,32,9.331,67,32,70,32,False
32,10,0.411,32,10,10,10,False
73,54,0.366,73,54,54,54,False
16,34,7.9030000000000005,16,34,70,34,False
98,27,0.43500000000000005,98,27,27,27,False
42,74,0.39549999999999996,42,74,74,74,False
77,75,0.36,77,75,75,19,False
18,64,0.4635,18,64,64,64,False
5,86,6.8215,5,86,70,86,False
8,19,0.5585,8,19,19,19,False
39,61,0.496,39,61,61,61,False
2,50,0.4455,2,50,50,50,False
6,58,7.627,6,6,70,58,False
76,13,1.984,13,13,13,13,False
14,53,9.192,14,53,53,53,False
78,50,0.41500000000000004,78,50,50,50,False
8,72,0.5415,8,72,72,27,False
70,50,0.52,70,50,50,50,False
70,33,0.489,70,33,33,28,False
85,49,0.48350000000000004,85,49,49,49,False
71,19,0.519,71,19,19,39,False
72,33,6.926,72,33,70,94,False
32,75,0.396,32,75,75,75,False
21,8,8.100999999999999,21,8,70,8,False
92,95,0.5449999999999999,92,95,95,95,False
17,73,8.6295,17,73,70,73,False
53,33,0.46950000000000003,53,33,33,33,False
77,9,0.5475,77,9,9,9,False
86,94,0.5365,86,94,94,94,False
17,35,0.8415,35,35,35,35,False
17,24,0.40700000000000003,17,24,24,24,False
12,62,0.505,12,62,62,62,False
43,99,0.6725000000000001,43,99,99,99,False
8,63,0.4435,8,63,63,63,False
97,24,0.3795,97,24,24,80,False
0,45,0.4495,0,45,45,45,False
19,88,4.023,88,88,88,19,True
