d1,d2,feat_orig,o1_crossovers,o2_crossovers,n_o1_xover,n_o2_xover
60,44,1.0298099517822266,[],"[0.917, 7.212]",0,2
28,90,2.367922306060791,[0.395],"[0.398, 3.942]",1,2
93,99,5.049258232116699,[0.626],"[0.22, 2.073]",1,2
19,17,1.1573114395141602,[1.753],"[1.647, 8.523]",1,2
49,19,1.844700574874878,[2.159],"[0.9, 4.259]",1,2
17,29,4.622935771942139,[0.652],"[0.188, 2.09]",1,2
4,29,3.016289234161377,[0.271],"[0.881, 1.726]",1,2
75,32,0.0,[],[],0,0
3,37,2.022212505340576,[0.675],"[0.995, 4.42]",1,2
82,23,4.708301544189453,[0.455],"[0.271, 1.985]",1,2
9,81,1.1853657960891724,[],"[0.91, 8.633]",0,2
48,69,0.0,[],[],0,0
7,84,0.0,[],[],0,0
48,40,0.0,[],[],0,0
55,92,2.7881762981414795,[0.455],"[0.318, 3.053]",1,2
63,1,0.0,[],[],0,0
29,20,0.0,[],[],0,0
40,53,4.409448623657227,[0.678],"[1.106, 2.423]",1,2
85,6,0.0,[],[],0,0
14,26,2.6762585639953613,[0.645],"[0.313, 3.475]",1,2
76,26,2.672527313232422,[0.527],"[0.297, 3.419]",1,2
88,37,0.0,[],[],0,0
49,11,0.46304622292518616,[5.181],[3.595],1,1
86,6,4.0280561447143555,[0.675],"[0.615, 3.054]",1,2
22,88,0.0,[],[],0,0
59,16,1.419486403465271,[1.563],"[1.241, 7.437]",1,2
2,97,3.048952102661133,[0.313],"[0.588, 3.499]",1,2
27,51,0.0,[],[],0,0
42,37,0.5239070653915405,[3.662],[1.087],1,1
1,37,2.8276631832122803,[0.587],"[0.886, 3.884]",1,2
35,31,0.0,[],[],0,0
38,86,1.758702039718628,[2.031],"[1.853, 7.524]",1,2
61,47,0.0,[],[],0,0
18,99,6.295462608337402,[0.552],"[0.265, 1.871]",1,2
51,47,7.470330715179443,[0.922],"[0.75, 2.296]",1,2
89,50,2.7641055583953857,[0.504],"[0.316, 2.999]",1,2
30,86,2.4607553482055664,[1.786],"[1.244, 5.614]",1,2
6,84,1.6402380466461182,[1.5],"[1.195, 7.652]",1,2
72,45,2.0593385696411133,[1.896],"[1.081, 4.27]",1,2
76,45,1.9610557556152344,[0.673],"[0.246, 4.71]",1,2
38,58,1.5371354818344116,[1.9],"[1.158, 6.981]",1,2
53,34,4.6297607421875,[1.683],"[1.007, 3.961]",1,2
66,24,5.473972320556641,[0.626],"[0.211, 1.899]",1,2
9,14,0.4405271112918854,[4.289],[0.711],1,1
82,91,2.10416579246521,[1.563],"[1.509, 6.988]",1,2
86,87,3.8403735160827637,[0.572],"[0.315, 2.931]",1,2
93,47,2.8056063652038574,[1.293],"[1.183, 4.971]",1,2
42,33,0.7912893891334534,[],"[0.598, 8.987]",0,2
48,94,0.0,[],[],0,0
43,37,0.0,[],[],0,0
11,40,3.837101936340332,[2.936],"[0.961, 6.895]",1,2
1,27,2.448096990585327,[0.459],"[0.361, 4.24]",1,2
60,57,2.5679569244384766,[0.302],"[0.387, 2.942]",1,2
80,31,0.0,[],[],0,0
6,55,1.2272218465805054,[1.946],"[0.804, 7.489]",1,2
86,55,3.7536065578460693,[0.606],"[0.655, 3.232]",1,2
36,23,2.967336893081665,[0.62],"[0.487, 2.085]",1,2
73,42,1.6484333276748657,[0.299],"[0.539, 5.507]",1,2
93,6,2.2743911743164062,[0.752],"[0.812, 5.245]",1,2
7,89,0.0,[],[],0,0
